State,beta,psi,alpha,Cases,PeakCase,Index
AL,0.787354014788404,1919.77570531893,0.142707443763807,2.76572424321519,0.119388735530978,1
AK,0.74236118592379,6000,0.023923936034358,0.620085014105116,0.097189019722522,2
AZ,0.261815350073262,1968.32030217357,0.142857142857121,1.38126381236854,0.185755129986502,3
AR,0.13974018330395,1.00160822722367,0.023012608748563,2.05918047122672,0.110654807119781,4
CA,0.293022127030985,1254.92668208974,0.05938203535484,1.21344216140237,0.217675461828837,5
CO,0.234986092256387,129.001986059063,0.012601391381495,4.55992855949233,0.095929298827081,6
CT,0.307211401347,82.4872730035537,0.010642094122017,8.28082849773672,0.138735050099875,7
DE,0.236843523932928,62.0769295777217,0.005000000000493,7.67851632611657,0.12526737685051,8
FL,0.59458308838088,795.015268740466,0.032113275051461,1.79117931929265,0.146093761005925,9
GA,0.487919007519045,427.675081511513,0.030628746291292,3.02391829079297,0.140040062191837,10
HI,0.493656393099656,1691.48486548446,0.005000000000042,0.42065855742636,0.107470350912242,11
ID,0.453497949921674,738.214180425335,0.022095164856456,1.7682786417523,0.085833328646098,12
IL,0.233581038753612,114.011791594021,0.008441636782021,4.0816406860275,0.228376012527802,13
IN,0.233171637717474,90.044814801146,0.00718338539294,5.5319002731239,0.090236796976223,14
IA,0.237169904951307,92.9949509878141,0.005000632465675,4.68005332263632,0.130274254233694,15
KS,0.757825574498417,1649.70988309815,0.142856766004833,3.66211886603671,0.090268688085754,16
KY,0.333217013223794,662.004365057308,0.02608773851482,1.44219101537882,0.153354397672552,17
LA,0.37464546226188,187.052157926261,0.018077617778498,4.97437186253577,0.165377629250361,18
ME,0.378556948535299,1409.73263625486,0.070235402482849,1.7907826556876,0.086018156824656,19
MD,0.253261819994884,96.8027045933756,0.012694125710309,5.94775607452041,0.139721541122191,20
MA,0.315195323575488,117.081018649786,0.019135522307339,6.98149947510686,0.203943135561641,21
MI,0.461253498927099,187.48923567144,0.016314344869327,4.97168590912978,0.116542784649184,22
MN,0.228966450947504,115.085292372197,0.005000000000039,3.26320106756376,0.128111631100287,23
MS,0.17810830753429,87.7192002158143,0.007593892339339,3.19053036076662,0.159853379896559,24
MO,0.3289815084909,572.445355982683,0.03769088707357,2.13655866417154,0.103288091166644,25
MT,0.799999999999978,1318.78159963428,0.006048953486453,0.609863593343284,0.076751426445684,26
NE,0.244183787372174,117.625587064806,0.016491623470131,4.43744008954352,0.158332187775673,27
NV,0.263030007402099,289.177434740697,0.018973214065832,2.65398889355037,0.10233923563283,28
NH,0.479527760331421,1775.02928250528,0.137539296964679,2.30008273804915,0.158040793143855,29
NJ,0.337381811388551,88.3271948169883,0.009740358495299,7.91687736742992,0.229475844915236,30
NM,0.248955698983322,510.093054263163,0.032500447739287,1.6322762154363,0.228403509664547,31
NY,0.384696363062333,63.3629458694637,0.005000175607644,10.4143528275664,0.176857180672505,32
NC,0.385019669371483,1652.02368012231,0.140285602026031,2.30769441384728,0.108216341867064,33
ND,0.187159353361324,235.81804472227,0.005000000000022,1.26751339183149,0.266714269704422,34
OH,0.25918216964158,249.945183234981,0.028747240572227,3.3425848346854,0.08837483368522,35
OK,0.246900416574678,663.57540931121,0.028954922329894,1.49120106058355,0.105746042144148,36
OR,0.25534705660773,585.450911710839,0.016511182477949,1.19848610601,0.079181967621454,37
PA,0.297760049825945,116.164770055541,0.021613965947202,7.06841047470329,0.083454201036249,38
RI,0.368021854620317,265.364807771027,0.036045253760611,4.33509864192174,0.334388768368014,39
SC,0.387388420433384,695.201796512701,0.039086194216553,1.97386462629852,0.112882202649182,40
SD,0.309499608055519,257.263833302957,0.043996032723932,4.44768000677812,0.129233855726119,41
TN,0.650445096068944,2005.70734292851,0.134885954954609,2.64082992403055,0.122326452000643,42
TX,0.287217496239813,721.281140318199,0.052345233988023,1.80116152204001,0.117158324904769,43
UT,0.27782027602073,1738.72607701998,0.142833320081554,1.75561817994017,0.163719990268571,44
VT,0.090457496283247,1.11100726125407,0.14284632845506,1.48488330896419,0.107034143630645,45
VA,0.23042594391621,81.9570544602528,0.005000000000022,5.28260184979103,0.090519670099485,46
WA,0.284851232884472,382.450447357912,0.014030093131912,1.92116010792999,0.143996535772391,47
WV,0.799999999999978,1048.53786290295,0.019283968027085,1.05425422376556,0.101708867676791,48
WI,0.312098517122028,1487.43164611999,0.096156255877968,1.6679779123345,0.170766620519717,49
WY,0.169977273457572,690.960793558659,0.07976616809337,1.31884391031525,0.128510531656503,50
